[2026-04-09 21:56:32] 10.27.211.82 --> 35.168.197.245 | TCP | Port: 443
[2026-04-09 21:56:32] 10.27.211.82 --> 35.168.197.245 | TCP | Port: 443
[2026-04-09 21:56:32] 10.27.211.82 --> 35.168.197.245 | TCP | Port: 443
[2026-04-09 21:56:32] 35.168.197.245 --> 10.27.211.82 | TCP | Port: 58948
[2026-04-09 21:56:32] 35.168.197.245 --> 10.27.211.82 | TCP | Port: 58948
[2026-04-09 21:56:32] 35.168.197.245 --> 10.27.211.82 | TCP | Port: 58948
[2026-04-09 21:56:32] 10.27.211.82 --> 35.168.197.245 | TCP | Port: 443
[2026-04-09 21:56:34] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[2026-04-09 21:56:34] 10.27.211.82 --> 104.20.29.66 | TCP | Port: 443
[2026-04-09 21:56:34] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[2026-04-09 21:56:39] 146.75.73.91 --> 10.27.211.82 | TCP | Port: 47238
[2026-04-09 21:56:39] 10.27.211.82 --> 146.75.73.91 | TCP | Port: 443
[2026-04-09 21:56:47] 10.27.211.82 --> 151.101.61.91 | TCP | Port: 443
[26-04-09 21:59:20] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[26-04-09 21:59:20] 10.27.211.82 --> 104.20.29.66 | TCP | Port: 443
[26-04-09 21:59:21] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[26-04-09 21:59:36] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[26-04-09 21:59:36] 10.27.211.82 --> 104.20.29.66 | TCP | Port: 443
[26-04-09 21:59:36] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[26-04-09 21:59:38] 10.27.211.82 --> 151.101.61.91 | TCP | Port: 443
[26-04-09 21:59:38] 10.27.211.82 --> 151.101.61.91 | TCP | Port: 443
[26-04-09 21:59:38] 10.27.211.82 --> 151.101.61.91 | TCP | Port: 443
[26-04-09 21:59:39] 151.101.61.91 --> 10.27.211.82 | TCP | Port: 38532
[26-04-09 21:59:39] 151.101.61.91 --> 10.27.211.82 | TCP | Port: 38532
[26-04-09 21:59:39] 151.101.61.91 --> 10.27.211.82 | TCP | Port: 38532
[26-04-09 21:59:39] 151.101.61.91 --> 10.27.211.82 | TCP | Port: 38532
[26-04-09 21:59:39] 10.27.211.82 --> 151.101.61.91 | TCP | Port: 443
