[26-04-09 22:03:50] 10.27.211.82 --> 18.97.36.49 | TCP | Port: 443
[26-04-09 22:03:50] 18.97.36.49 --> 10.27.211.82 | TCP | Port: 54076
[26-04-09 22:03:51] 10.27.211.82 --> 18.97.36.49 | TCP | Port: 443
[26-04-09 22:03:53] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[26-04-09 22:03:53] 10.27.211.82 --> 104.20.29.66 | TCP | Port: 443
[26-04-09 22:03:53] 146.75.73.91 --> 10.27.211.82 | TCP | Port: 47238
[26-04-09 22:03:53] 10.27.211.82 --> 146.75.73.91 | TCP | Port: 443
[26-04-09 22:03:53] 104.20.29.66 --> 10.27.211.82 | TCP | Port: 39242
[26-04-19 18:10:01] 10.0.2.15 --> 151.101.61.91 | TCP | Port: 443
[26-04-19 18:10:02] 10.0.2.15 --> 34.160.144.191 | TCP | Port: 443
[26-04-19 18:10:02] 10.0.2.15 --> 34.160.144.191 | TCP | Port: 443
[26-04-19 18:10:02] 151.101.61.91 --> 10.0.2.15 | TCP | Port: 36020
[26-04-19 18:10:02] 10.0.2.15 --> 151.101.61.91 | TCP | Port: 443
[26-04-19 18:10:02] 34.160.144.191 --> 10.0.2.15 | TCP | Port: 42038
[26-04-19 18:10:02] 10.0.2.15 --> 34.160.144.191 | TCP | Port: 443
[26-04-19 18:10:02] 10.0.2.15 --> 151.101.61.91 | TCP | Port: 443
[26-04-19 18:10:02] 10.0.2.15 --> 34.160.144.191 | TCP | Port: 443
[26-04-19 18:10:02] 34.160.144.191 --> 10.0.2.15 | TCP | Port: 42048
[26-04-19 18:10:02] 151.101.61.91 --> 10.0.2.15 | TCP | Port: 36020
[26-04-19 18:10:02] 151.101.61.91 --> 10.0.2.15 | TCP | Port: 36020
